,Mg / yr,Mg / yr,Silver regions,,,,,Regional Emiss,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Air,Land/Water,North America,South America,Europe,Former USSR,Asia,NA Air,NA Land/Water,NA Gold,SA Air,SA LW,Mining,No Mining,MinamataYear,Minamata,MinamataLW,LandfillYear,Lffrac,LandfillNA,LFYear,Landfill,,Copper Smelting,Zinc Smelting,Lead Smelting,Iron Manufacturing,Steel Manufacturing,Mercury Production,"Gold Production, large-scale","Gold Production, artisanal",Silver Production,,,Cement Manufacturing,Caustic Soda Manufacturing,Coal Combustion,Oil Combustion,Municipal Waste Incineration,Other Waste Burning,Electrical & Measuring Equip't,Chemicals Manufacturing,Dental,,,YearSplit,LWpre1850,LW1850-1900,LW1900-1950,LW1950-1990,LW1990-2000,LW2000-2010,AIRpre1850,AIR1850-1900,AIR1900-1950,AIR1950-1990,AIR1990-2000,AIR2000-2010,,YearVolc,Tambora,Krakatoa,Pinatubo,,GoldYear,"Gold Production, large-scale","Gold Production, artisanal",WorldGoldAir,,"Gold Production, large-scale","Gold Production, artisanal",WorldGoldLW,,Coal Year,Coal Air,Coal LW,,
1680,122.9115439,684.2838399,129.080077,224.99136,8.21787525,0,28.73700082,3.862956488,129.3774107,0.29733366,51.70158456,318.4989856,684.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680,684.2838399,0,0,0,0,0,122.9115439,0,0,0,0,0,,,,,,,1690,4.526204833,0,4.526204833,,6.789307249,0,6.789307249,,1690,0.009460371,0.061398024,0.070858395,
1690,117.2088995,644.0108812,139.3296761,194.992512,8.533947375,0,30.60687416,4.159170948,139.6348343,0.30515823,49.6858177,324.4353,644.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,644.0108812,0,0,0,0,0,117.2088995,0,0,0,0,0,,,,,,,1700,4.666989665,0,4.666989665,,7.000484498,0,7.000484498,,1700,0.012716465,0.082530149,0.095246614,
1700,112.2548014,597.2049574,139.3296761,164.993664,8.8500195,0,32.4767475,4.180036468,139.6661326,0.33645651,47.95268647,331.3608391,597.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,597.2049574,0,0,0,0,0,112.2548014,0,0,0,0,0,,,,,,,1710,5.503726742,0,5.503726742,,8.255590112,0,8.255590112,,1710,0.01709325,0.110935581,0.12802883,
1710,102.7680702,675.5935585,207.0808231,181.7930189,10.84759533,0.858933,1.08255825,6.140085272,207.4720516,0.3912285,46.47912763,339.1948815,675.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,675.5935585,0,0,0,0,0,102.7680702,0,0,0,0,0,,,,,,,1720,6.352055774,0,6.352055774,,9.52808366,0,9.52808366,,1720,0.022976447,0.149117665,0.172094112,
1720,115.9754688,730.2869531,207.0808231,198.5923738,12.84517116,1.8610215,1.08255825,6.188191888,207.5442116,0.463388423,45.24395988,347.8632927,730.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720,730.2869531,0,0,0,0,0,115.9754688,0,0,0,0,0,,,,,,,1730,7.195023398,0,7.195023398,,10.7925351,0,10.7925351,,1730,0.030884537,0.200441354,0.231325891,
1730,136.2817781,886.0489701,291.7502957,215.3917286,14.84274699,2.86311,1.08255825,8.640163655,292.2858441,0.535548347,44.22773036,357.2979878,886.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730,886.0489701,0,0,0,0,0,136.2817781,0,0,0,0,0,,,,,,,1740,8.054075246,0,8.054075246,,12.08111287,0,12.08111287,,1740,0.041514454,0.269429758,0.310944212,
1740,160.4174071,978.8660366,291.7502957,232.1910835,16.84032282,3.8651985,1.08255825,8.688270271,292.358004,0.60770827,48.62163198,385.6681418,978.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740,978.8660366,0,0,0,0,0,160.4174071,0,0,0,0,0,,,,,,,1750,8.953388094,0,8.953388094,,13.43008214,0,13.43008214,,1750,0.055820507,0.36227637,0.418096877,
1750,195.0300283,1188.881944,380.5715046,248.9904384,18.83789865,4.325954702,1.08255825,11.25822268,381.2513959,0.679868193,53.32848413,415.1336227,1188.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1188.881944,0,0,0,0,0,195.0300283,0,0,0,0,0,,,,,,,1760,9.852700942,0,9.852700942,,14.77905141,0,14.77905141,,1760,0.086203304,0.559461412,0.645664716,
1760,216.8335533,1273.706334,380.5715046,265.7897933,20.83547448,4.786710904,1.08255825,11.30643729,381.3235789,0.752028117,58.38153095,445.8107849,1273.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,1273.706334,0,0,0,0,0,216.8335533,0,0,0,0,0,,,,,,,1770,10.76816652,0,10.76816652,,16.15224978,0,16.15224978,,1770,0.105855336,0.687003552,0.792858888,
1770,243.2030254,1449.148821,463.2429541,282.5891482,22.83305031,5.247467106,1.08255825,13.70418685,464.0672817,0.82418804,63.81754801,477.828343,1449.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770,1449.148821,0,0,0,0,0,243.2030254,0,0,0,0,0,,,,,,,1780,11.67843209,0,11.67843209,,17.51764814,0,17.51764814,,1780,0.131839956,0.855644328,0.987484284,
