location,level,month,species,Hg [Mg],time
Pinatubo,10,1,Hg0,55.14924621582031,146
Pinatubo,10,1,Hg0,54.7016716003418,148
Pinatubo,10,1,Hg0,54.26675796508789,150
Pinatubo,10,1,Hg0,53.828678131103516,152
Pinatubo,10,1,Hg0,53.392234802246094,154
Pinatubo,10,1,Hg0,52.95108413696289,156
Pinatubo,10,1,Hg0,52.51209259033203,158
Pinatubo,10,1,Hg0,52.069419860839844,160
Pinatubo,10,1,Hg0,51.630794525146484,162
Pinatubo,10,1,Hg0,51.19089889526367,164
Pinatubo,10,1,Hg0,50.74276351928711,166
Pinatubo,10,1,Hg0,50.31612014770508,168
Pinatubo,10,1,Hg0,49.8814697265625,170
Pinatubo,10,1,Hg0,49.45978927612305,172
Pinatubo,10,1,Hg0,49.04387664794922,174
Pinatubo,10,1,Hg0,48.632713317871094,176
Pinatubo,10,1,Hg0,48.22252655029297,178
Pinatubo,20,1,Hg0,100.02894592285156,2
Pinatubo,20,1,Hg0,99.57984161376953,4
Pinatubo,20,1,Hg0,98.03152465820312,6
Pinatubo,20,1,Hg0,96.5562515258789,8
Pinatubo,20,1,Hg0,95.20677947998047,10
Pinatubo,20,1,Hg0,93.99597930908203,12
Pinatubo,20,1,Hg0,93.1706771850586,14
Pinatubo,20,1,Hg0,92.45242309570312,16
Pinatubo,20,1,Hg0,91.74445343017578,18
Pinatubo,20,1,Hg0,91.04621887207031,20
Pinatubo,20,1,Hg0,90.36132049560547,22
Pinatubo,20,1,Hg0,89.68082427978516,24
Pinatubo,20,1,Hg0,88.95946502685547,26
Pinatubo,20,1,Hg0,88.20362854003906,28
Pinatubo,20,1,Hg0,87.39445495605469,30
Pinatubo,20,1,Hg0,86.47642517089844,32
Pinatubo,20,1,Hg0,85.53993225097656,34
Pinatubo,20,1,Hg0,84.6212158203125,36
Pinatubo,20,1,Hg0,83.68653869628906,38
Pinatubo,20,1,Hg0,82.76654052734375,40
Pinatubo,20,1,Hg0,81.86429595947266,42
Pinatubo,20,1,Hg0,80.95338439941406,44
Pinatubo,20,1,Hg0,80.0051040649414,46
Pinatubo,20,1,Hg0,79.10047912597656,48
Pinatubo,20,1,Hg0,78.22494506835938,50
Pinatubo,20,1,Hg0,77.3735122680664,52
Pinatubo,20,1,Hg0,76.49278259277344,54
Pinatubo,20,1,Hg0,75.59528350830078,56
Pinatubo,20,1,Hg0,74.73575592041016,58
Pinatubo,20,1,Hg0,73.97602844238281,60
Pinatubo,20,1,Hg0,73.1906509399414,62
Pinatubo,20,1,Hg0,72.42052459716797,64
Pinatubo,20,1,Hg0,71.66841125488281,66
Pinatubo,20,1,Hg0,70.92741394042969,68
Pinatubo,20,1,Hg0,70.18234252929688,70
Pinatubo,20,1,Hg0,69.43041229248047,72
Pinatubo,20,1,Hg0,68.72979736328125,74
Pinatubo,20,1,Hg0,68.05741119384766,76
Pinatubo,20,1,Hg0,67.37841796875,78
Pinatubo,20,1,Hg0,66.68244934082031,80
Pinatubo,20,1,Hg0,66.00773620605469,82
Pinatubo,20,1,Hg0,65.32050323486328,84
Pinatubo,20,1,Hg0,64.60810852050781,86
Pinatubo,20,1,Hg0,63.92749786376953,88
Pinatubo,20,1,Hg0,63.296688079833984,90
Pinatubo,20,1,Hg0,62.705467224121094,92
Pinatubo,20,1,Hg0,62.13767623901367,94
Pinatubo,20,1,Hg0,61.573184967041016,96
Pinatubo,20,1,Hg0,61.00346374511719,98
Pinatubo,20,1,Hg0,60.44972229003906,100
Pinatubo,20,1,Hg0,59.89731979370117,102
Pinatubo,20,1,Hg0,59.33369445800781,104
Pinatubo,20,1,Hg0,58.792503356933594,106
Pinatubo,20,1,Hg0,58.268795013427734,108
Pinatubo,20,1,Hg0,57.75139617919922,110
Pinatubo,20,1,Hg0,57.2170295715332,112
Pinatubo,20,1,Hg0,56.70049285888672,114
Pinatubo,20,1,Hg0,56.19464111328125,116
Pinatubo,20,1,Hg0,55.68324279785156,118
Pinatubo,20,1,Hg0,55.19993591308594,120
Pinatubo,20,1,Hg0,54.74569320678711,122
Pinatubo,20,1,Hg0,54.30524444580078,124
Pinatubo,20,1,Hg0,53.86541748046875,126
Pinatubo,20,1,Hg0,53.423828125,128
Pinatubo,20,1,Hg0,52.982452392578125,130
Pinatubo,20,1,Hg0,52.53911590576172,132
Pinatubo,20,1,Hg0,52.112159729003906,134
Pinatubo,20,1,Hg0,51.69749069213867,136
Pinatubo,20,1,Hg0,51.287261962890625,138
Pinatubo,20,1,Hg0,50.88172912597656,140
Pinatubo,20,1,Hg0,50.45696258544922,142
Pinatubo,20,1,Hg0,50.04671859741211,144
Pinatubo,20,1,Hg0,49.63945770263672,146
Pinatubo,20,1,Hg0,49.23238754272461,148
Pinatubo,20,1,Hg0,48.83976745605469,150
Pinatubo,20,1,Hg0,48.447208404541016,152
Pinatubo,20,1,Hg0,48.05711364746094,154
Pinatubo,20,1,Hg0,47.66237258911133,156
Pinatubo,20,1,Hg0,47.2684326171875,158
Pinatubo,20,1,Hg0,46.8681755065918,160
Pinatubo,20,1,Hg0,46.472835540771484,162
Pinatubo,20,1,Hg0,46.077301025390625,164
Pinatubo,20,1,Hg0,45.677040100097656,166
Pinatubo,20,1,Hg0,45.29364013671875,168
Pinatubo,20,1,Hg0,44.90190505981445,170
Pinatubo,20,1,Hg0,44.523292541503906,172
Pinatubo,20,1,Hg0,44.14914321899414,174
Pinatubo,20,1,Hg0,43.78125762939453,176
Pinatubo,20,1,Hg0,43.41416931152344,178
Pinatubo,30,1,Hg0,100.12416076660156,2
Pinatubo,30,1,Hg0,100.02021026611328,4
Pinatubo,30,1,Hg0,99.9361801147461,6
Pinatubo,30,1,Hg0,99.71089935302734,8
Pinatubo,30,1,Hg0,99.43042755126953,10
Pinatubo,30,1,Hg0,98.80646514892578,12
Pinatubo,30,1,Hg0,97.96115112304688,14
Pinatubo,30,1,Hg0,97.0322265625,16
Pinatubo,30,1,Hg0,96.17845153808594,18
Pinatubo,30,1,Hg0,95.36748504638672,20
Pinatubo,30,1,Hg0,94.61274719238281,22
Pinatubo,30,1,Hg0,93.82328796386719,24
Pinatubo,30,1,Hg0,93.09786987304688,26
Pinatubo,30,1,Hg0,92.37566375732422,28
Pinatubo,30,1,Hg0,91.59329223632812,30
Pinatubo,30,1,Hg0,90.71299743652344,32
Pinatubo,30,1,Hg0,89.8508071899414,34
Pinatubo,30,1,Hg0,88.99888610839844,36
Pinatubo,30,1,Hg0,88.14604949951172,38
Pinatubo,30,1,Hg0,87.3180160522461,40
Pinatubo,30,1,Hg0,86.52198791503906,42
Pinatubo,30,1,Hg0,85.71942138671875,44
Pinatubo,30,1,Hg0,84.8873062133789,46
Pinatubo,30,1,Hg0,84.08270263671875,48
Pinatubo,30,1,Hg0,83.30366516113281,50
Pinatubo,30,1,Hg0,82.53752136230469,52
Pinatubo,30,1,Hg0,81.7402114868164,54
Pinatubo,30,1,Hg0,80.94257354736328,56
Pinatubo,30,1,Hg0,80.17835235595703,58
Pinatubo,30,1,Hg0,79.49034881591797,60
Pinatubo,30,1,Hg0,78.78121185302734,62
Pinatubo,30,1,Hg0,78.08232116699219,64
Pinatubo,30,1,Hg0,77.40870666503906,66
Pinatubo,30,1,Hg0,76.7305679321289,68
Pinatubo,30,1,Hg0,76.04186248779297,70
Pinatubo,30,1,Hg0,75.34225463867188,72
Pinatubo,30,1,Hg0,74.6766128540039,74
Pinatubo,30,1,Hg0,74.03447723388672,76
Pinatubo,30,1,Hg0,73.38849639892578,78
Pinatubo,30,1,Hg0,72.72904205322266,80
Pinatubo,30,1,Hg0,72.08676147460938,82
Pinatubo,30,1,Hg0,71.43470764160156,84
Pinatubo,30,1,Hg0,70.76599884033203,86
Pinatubo,30,1,Hg0,70.1166763305664,88
Pinatubo,30,1,Hg0,69.49624633789062,90
Pinatubo,30,1,Hg0,68.90254974365234,92
Pinatubo,30,1,Hg0,68.32977294921875,94
Pinatubo,30,1,Hg0,67.76199340820312,96
Pinatubo,30,1,Hg0,67.19032287597656,98
Pinatubo,30,1,Hg0,66.63056945800781,100
Pinatubo,30,1,Hg0,66.07125091552734,102
Pinatubo,30,1,Hg0,65.50028228759766,104
Pinatubo,30,1,Hg0,64.94924926757812,106
Pinatubo,30,1,Hg0,64.41201782226562,108
Pinatubo,30,1,Hg0,63.87748718261719,110
Pinatubo,30,1,Hg0,63.32481002807617,112
Pinatubo,30,1,Hg0,62.78580856323242,114
Pinatubo,30,1,Hg0,62.26158905029297,116
Pinatubo,30,1,Hg0,61.729576110839844,118
Pinatubo,30,1,Hg0,61.22016143798828,120
Pinatubo,30,1,Hg0,60.73616409301758,122
